iter	Passed	Remaining
0	140	140778
1	142	70927
2	143	47787
3	145	36241
4	146	29215
5	147	24514
6	149	21139
7	150	18631
8	151	16679
9	152	15106
10	153	13828
11	155	12767
12	156	11862
13	157	11094
14	158	10433
15	160	9854
16	161	9332
17	162	8874
18	163	8464
19	165	8090
20	166	7753
21	167	7450
22	168	7171
23	170	6917
24	171	6679
25	172	6463
26	174	6279
27	176	6115
28	177	5934
29	178	5770
30	179	5615
31	180	5468
32	182	5336
33	183	5210
34	184	5085
35	185	4974
36	187	4869
37	188	4774
38	189	4679
39	191	4586
40	192	4494
41	193	4408
42	194	4329
43	195	4255
44	196	4179
45	198	4111
46	199	4043
47	200	3981
48	202	3921
49	203	3862
50	204	3803
51	205	3748
52	206	3696
53	208	3643
54	209	3593
55	210	3543
56	211	3495
57	212	3450
58	213	3408
59	214	3367
60	216	3335
61	218	3306
62	219	3268
63	221	3232
64	222	3197
65	223	3163
66	224	3128
67	225	3094
68	226	3060
69	227	3028
70	229	3001
71	230	2976
72	232	2947
73	233	2920
74	234	2893
75	235	2868
76	237	2841
77	238	2814
78	239	2789
79	240	2763
80	241	2739
81	242	2715
82	243	2686
83	244	2666
84	245	2646
85	247	2625
86	248	2605
87	249	2590
88	251	2571
89	252	2553
90	254	2538
91	256	2531
92	258	2520
93	259	2504
94	262	2500
95	263	2483
96	265	2476
97	268	2470
98	271	2468
99	273	2457
100	274	2444
101	276	2434
102	278	2423
103	279	2410
104	281	2401
105	283	2390
106	285	2383
107	287	2376
108	289	2367
109	291	2360
110	294	2355
111	296	2349
112	298	2339
113	302	2350
114	305	2350
115	307	2340
116	308	2330
117	310	2319
118	311	2309
119	313	2297
120	317	2308
121	319	2297
122	321	2289
123	322	2279
124	324	2270
125	326	2261
126	330	2268
127	332	2266
128	334	2259
129	336	2254
130	338	2245
131	340	2237
132	342	2231
133	344	2226
134	350	2244
135	352	2239
136	354	2231
137	355	2222
138	359	2224
139	360	2217
140	363	2216
141	364	2204
142	366	2198
143	368	2189
144	369	2180
145	371	2170
146	374	2170
147	375	2162
148	377	2153
149	379	2149
150	382	2149
151	384	2145
152	386	2137
153	387	2128
154	389	2121
155	391	2116
156	393	2114
157	395	2105
158	396	2099
159	398	2091
160	399	2081
161	400	2072
162	402	2064
163	404	2061
164	406	2056
165	407	2049
166	409	2042
167	411	2038
168	413	2035
169	415	2029
170	417	2022
171	418	2015
172	420	2008
173	421	2001
174	422	1993
175	424	1985
176	425	1978
177	427	1971
178	428	1964
179	429	1956
180	430	1949
181	432	1943
182	433	1936
183	436	1936
184	437	1929
185	439	1923
186	440	1916
187	442	1909
188	443	1902
189	444	1895
190	446	1889
191	447	1884
192	450	1883
193	453	1883
194	454	1876
195	455	1870
196	457	1863
197	458	1857
198	459	1850
199	461	1844
200	462	1839
201	463	1832
202	465	1825
203	466	1819
204	467	1813
205	468	1806
206	470	1800
207	471	1795
208	472	1789
209	473	1783
210	475	1777
211	476	1772
212	479	1770
213	481	1768
214	482	1762
215	483	1756
216	485	1750
217	486	1744
218	488	1740
219	489	1735
220	490	1730
221	492	1725
222	493	1720
223	494	1714
224	495	1708
225	497	1702
226	498	1696
227	499	1690
228	500	1685
229	501	1679
230	502	1673
231	504	1668
232	505	1663
233	506	1658
234	507	1653
235	509	1648
236	510	1643
237	511	1637
238	512	1632
239	513	1627
240	515	1622
241	516	1617
242	517	1612
243	519	1608
244	520	1603
245	521	1598
246	522	1592
247	523	1587
248	524	1582
249	525	1577
250	527	1573
251	529	1571
252	533	1575
253	535	1571
254	537	1570
255	540	1570
256	541	1566
257	543	1562
258	544	1558
259	546	1554
260	548	1552
261	549	1547
262	550	1543
263	551	1538
264	553	1533
265	554	1529
266	555	1525
267	557	1521
268	558	1516
269	559	1512
270	560	1508
271	562	1505
272	563	1500
273	564	1496
274	566	1492
275	567	1488
276	568	1483
277	569	1479
278	570	1475
279	572	1472
280	574	1470
281	577	1469
282	578	1466
283	580	1462
284	581	1458
285	582	1453
286	583	1450
287	585	1446
288	586	1442
289	587	1438
290	588	1434
291	589	1429
292	591	1427
293	593	1425
294	594	1421
295	596	1417
296	597	1414
297	598	1410
298	600	1406
299	601	1402
300	602	1398
301	603	1394
302	604	1390
303	606	1388
304	608	1385
305	609	1382
306	610	1378
307	612	1375
308	613	1372
309	614	1368
310	616	1364
311	617	1360
312	618	1356
313	619	1353
314	621	1352
315	623	1348
316	624	1345
317	625	1342
318	627	1338
319	628	1335
320	629	1331
321	630	1327
322	631	1323
323	632	1320
324	634	1317
325	636	1315
326	637	1311
327	638	1308
328	639	1305
329	641	1302
330	642	1299
331	643	1295
332	645	1292
333	646	1289
334	647	1285
335	649	1283
336	650	1280
337	652	1277
338	653	1275
339	655	1272
340	656	1269
341	657	1265
342	659	1262
343	660	1259
344	661	1255
345	663	1254
346	665	1252
347	667	1249
348	668	1246
349	669	1243
350	670	1240
351	672	1237
352	673	1234
353	675	1233
354	678	1232
355	680	1231
356	682	1229
357	684	1227
358	685	1224
359	686	1221
360	688	1218
361	689	1214
362	690	1211
363	692	1209
364	693	1206
365	694	1203
366	696	1200
367	697	1197
368	698	1194
369	699	1191
370	700	1188
371	702	1185
372	703	1182
373	704	1179
374	705	1176
375	708	1175
376	710	1173
377	711	1170
378	712	1167
379	714	1165
380	715	1162
381	716	1159
382	718	1157
383	719	1154
384	721	1151
385	722	1149
386	724	1147
387	725	1144
388	726	1141
389	728	1138
390	729	1135
391	730	1133
392	731	1130
393	732	1127
394	734	1124
395	735	1122
396	737	1119
397	738	1116
398	739	1114
399	740	1111
400	742	1108
401	743	1105
402	744	1102
403	745	1099
404	746	1096
405	747	1094
406	749	1091
407	752	1091
408	753	1089
409	754	1086
410	756	1084
411	757	1081
412	759	1078
413	760	1076
414	761	1073
415	762	1071
416	764	1068
417	766	1066
418	767	1064
419	768	1061
